job_title,trending_keywords
Network Architect,"['Virtualization', 'Project management', 'Troubleshooting', 'Communication', 'Analytic reasoning', 'Network design', 'Networking', 'Collaboration', 'Network security']"
Cloud Operations Engineer,"['Automation', 'Cloud infrastructure management', 'DevOps and containerization', 'Collaboration and communication', 'Communication', 'Cloud partnering', 'Database management', 'DevOps', 'Continuous learning and improvement']"
Systems Integrator,"['Automation', 'Customer service', 'Project management', 'Analytical thinking skills', 'Problem solving', 'Communication', 'Innovation', 'Collaboration', 'Adaptability and flexibility']"
Database Administrator (DBA),"['Disaster recovery', 'Problem solving', 'Performance tuning', 'Database administration', 'Backup and recovery', 'Data modeling', 'Data Security', 'Attention to detail', 'Communication skills']"
Web Application Developer,"['JavaScript', 'Problem solving', 'User Experience', 'Version control', 'Backend skills', 'Frameworks', 'CSS', 'Databases', 'Testing and debugging']"
Platform Engineer,"['Cloud computing', 'Project management', 'Problem solving', 'Compliance databases', 'Programming', 'Collaborate', 'Infrastructure provisioning', 'DevOps', 'Artificial intelligence']"
Data Integration Engineer,"['Problem solving', 'ETL', 'Machine learning', 'Communication', 'Data warehouse', 'Data modeling', 'Coding', 'Databases', 'Collaboration']"
Cloud Service Engineer,"['Virtualization', 'Management', 'Linux', 'Cloud security', 'Cloud cost management', 'Web services and API', 'Programming', 'Networking', 'DevOps']"
Data Infrastructure Engineer,"['Analytics', 'Problem solving', 'Machine learning', 'Communication', 'Programming', 'Data warehouse', 'Data modeling', 'Data pipelines', 'Databases']"
Data Science Manager,"['Cloud computing', 'Machine learning', 'Programming Languages', 'Communication', 'Database management', 'Big data', 'Data and information visualization', 'Ethics', 'Statistics']"
Big Data Specialist,"['Problem solving', 'Machine learning', 'Programming Languages', 'Statistical analysis', 'Data management', 'Data visualization', 'Data mining', 'Critical thinking', 'Statistics']"
Cloud Services Developer,"['AI and automation', 'Cloud computing concepts', 'Linux', 'Cloud security', 'Application programming interfaces', 'Programming Languages', 'Database management', 'Networking', 'DevOps']"
Enterprise Architect,"['Project management', 'Problem solving', 'Communication', 'Business acumen', 'Technical expertise', 'Innovation', 'Architecture', 'Leadership', 'Analytic reasoning']"
IT Security Architect,"['Cloud computing', 'Collaboration', 'Cloud security', 'Managing a cybersecurity team', 'Penetration testing', 'Identity and access management', 'Linux, windows, and mac operating systems', 'Security architecture design', 'Network security']"
Security Software Engineer,"['Problem-solving skills', 'Incident response', 'Penetration testing', 'Data structure', 'Networking', 'Communication and collaboration', 'Attention to detail', 'Collaboration', 'Network security']"
AI Engineer,"['Problem solving', 'Deep learning', 'Programming Languages', 'Machine learning', 'Machine Learning Engineer', 'Natural language processing', 'Critical thinking', 'Data analysis', 'Collaboration']"
C++ Software Developer,"['Problem solving', 'Database', 'Adaptability', 'Software Testing', 'Communication', 'Version control', 'Programming Languages', 'Collaboration and teamwork', 'Data structures and algorithms']"
Artificial Intelligence Architect,"['Data science', 'Problem solving', 'Communication', 'Machine learning', 'Programming Languages', 'Ai architecture and pipeline', 'Natural language processing', 'Programming skills', 'Collaboration']"
System Engineer,"['Cloud computing', 'Project management', 'Problem solving', 'Communication', 'Cybersecurity', 'Scripting', 'Networking', 'Coding skills', 'Teamwork']"
Virtualization Software Engineer,"['Cloud computing', 'Collaboration and communication', 'Data science', 'Programming language', 'Programming', 'Database skills', 'Containerization', 'DevOps', 'AI']"
JavaScript Architect,"['Git', 'Node.js', 'Problem solving', 'Version control', 'Frameworks', 'Asynchronous programming', 'Front-end frameworks', 'Testing and debugging', 'Responsive design']"
Security Software Developer,"['Networking basics', 'Cloud computing', 'Communication', 'Programming Languages', 'Data structure', 'Cybersecurity', 'DevOps', 'Artificial intelligence', 'Critical thinking']"
Engineering Manager,"['Project management', 'Problem solving', 'Decision-making', 'Technical skills', 'Communication', 'Emotional intelligence', 'Communication skills', 'Delegation', 'Leadership']"
Tech Lead,"['Project management', 'Delegating responsibilities', 'Problem solving', 'Communication', 'Emotional intelligence', 'Analyzing team member performance', 'Communication skills', 'Leadership', 'Time management']"
Chief Technology Officer (CTO),"['Technology planning', 'Project management', 'Continuous learning', 'Problem solving', 'Adaptability', 'Decision-making', 'Technical knowledge', 'Strategic thinking', 'Communication skills']"
Chief Information Officer (CIO),"['Project management', 'Change management', 'Budget management', 'Cybersecurity', 'Business acumen', 'Strategic thinking', 'Technical expertise', 'Risk management', 'Leadership']"
Software Development Director,"['Cloud computing', 'Project management', 'Database', 'Problem solving', 'Communication', 'Programming Languages', 'DevOps', 'Java', 'Collaboration']"
IT Director,"['Cloud computing', 'Project management', 'Problem solving', 'Communication', 'Compliance', 'Cybersecurity', 'Technical expertise', 'Vendor management', 'Leadership']"
Cloud Product Manager,"['Problem solving', 'Cross-functional team leadership', 'Communication', 'Strategic thinking', 'Technical expertise', 'Cloud applications', 'Data visualization', 'Data analysis', 'Stakeholder management']"
Cloud Solutions Engineer,"['Virtualization', 'Linux', 'Cloud security', 'Programming', 'Networking', 'DevOps', 'Containerization', 'Database skills', 'Cloud Architect']"
Security Operations Analyst,"['Computer forensics', 'Collaboration', 'Incident response', 'Communication', 'Ethical hacking', 'Vulnerability assessment', 'Risk management', 'SIEM operations', 'Network security']"
Embedded Systems Software Engineer,"['C++', 'Problem solving', 'Microcontroller knowledge', 'Hardware design', 'Embedded Linux', 'Communication protocols', 'Operating system', 'Teamwork', 'Circuit design']"
UI Engineer,"['Problem solving', 'Communication', 'Information architecture', 'Design', 'Accessibility', 'Feedback', 'Attention to detail', 'Collaboration', 'Time management']"
Senior Front-End Developer,"['JavaScript', 'Frameworks and libraries', 'User Experience', 'Communication', 'Version control', 'APIs', 'Accessibility', 'Testing and debugging', 'Responsive design']"
Senior Back-End Developer,"['Problem solving', 'Programming language', 'Data structure and Algorithm', 'Version control with Git and GitHub', 'Effective communication and collaboration', 'Databases', 'API knowledge', 'Communication skills', 'Analytic reasoning']"
Digital Solutions Architect,"['Analytical skills', 'Project management', 'DevOps and continuous delivery', 'Communication', 'Stakeholder communication', 'Expert analysis and problem solving', 'Architecture systems evaluation', 'Community collaboration', 'Cloud computing expertise']"
SRE Engineer,"['Automation', 'Problem solving', 'Ci/cd pipeline development', 'Communication', 'Version control', 'Incident management', 'Programming', 'Monitoring tools', 'Collaboration']"
Technical Account Manager,"['Relationship building', 'Project management', 'Technical support', 'Problem solving skills', 'Communication', 'Technical expertise', 'Account management', 'Interpersonal skills', 'Communication skills']"
Cloud Consultant,"['Automation', 'Problem solving', 'Cloud security', 'Cloud architecture', 'Programming', 'Cloud service providers', 'DevOps', 'Cloud migration', 'Cloud Data Engineer']"
AI Solutions Architect,"['Data science', 'Architectural design', 'Project management', 'Communication', 'Machine learning', 'Deep learning', 'Natural language processing', 'Critical thinking', 'Artificial intelligence and machine learning']"
Network Security Engineer,"['Firewalls', 'Operating Systems', 'Incident response', 'Network security', 'Penetration testing', 'Vulnerability assessment', 'Coding', 'Communication skills', 'Analytic reasoning']"
Penetration Testing Specialist,"['Operating Systems', 'Communication', 'CompTIA PenTest+', 'Programming', 'Scripting', 'Networking', 'Report writing', 'Vulnerability assessment', 'Network security']"
AI Operations Engineer,"['Computer vision', 'Problem solving', 'Machine learning', 'Deep learning', 'Communication', 'Programming Languages', 'Programming', 'Natural language processing', 'Data analysis']"
Database Security Engineer,"['Operating Systems', 'Incident response', 'Communication', 'Compliance', 'Programming', 'Security auditing', 'Vulnerability', 'Threat intelligence', 'Network security']"
Game Engine Developer,"['Audio programming', 'Problem solving', 'Epic Unreal Engine', 'Animation', 'Communication', 'Programming Languages', 'Creativity', 'AI', 'Time management']"
Application Security Architect,"['Problem solving', 'Cloud security', 'Managing security improvement projects', 'Penetration testing', 'Identity and access management', 'Linux, windows, and mac operating systems', 'Threat modeling', 'Security architecture design', 'Network security']"
Mobile Software Developer,"['Cross-platform capabilities', 'Communication', 'User interface design', 'Problem solving skills', 'Communication and collaboration', 'User experience design', 'Backend development', 'Agile development', 'Programming languages']"
Senior DevOps Engineer,"['Continuous integration', 'Infrastructure as Code', 'Collaboration and communication', 'Version control', 'Automation skills', 'Security', 'Containerization', 'Monitoring and logging', 'Collaboration']"
Full Stack Architect,"['JavaScript', 'Git', 'Programming language', 'Frontend frameworks', 'Communication', 'Version control', 'Backend frameworks', 'CSS', 'Architecture']"
Systems Administrator (Linux),"['Performance monitoring', 'Cloud computing', 'Problem solving', 'Troubleshooting', 'Backup technologies', 'Automation and scripting', 'Networking', 'Interpersonal skills', 'User management']"
API Integration Developer,"['Integration knowledge', 'Cross-platform development', 'Coding language proficiency', 'Communication', 'Version control', 'Programming Languages', 'Orchestration', 'Testing and debugging', 'Collaboration']"
Cloud Software Engineer,"['Virtualization', 'Linux', 'Cloud security', 'Programming', 'Networking', 'Cloud service providers', 'Containerization', 'DevOps', 'Database skills']"
Information Systems Manager,"['Analytics', 'Problem solving', 'Collaboration', 'Adaptability', 'Communication', 'Compliance', 'Interpersonal communication', 'Technical', 'Leadership']"
Big Data Systems Architect,"['Problem solving', 'Data governance', 'Machine learning', 'Programming Languages', 'Big data technologies', 'NoSQL', 'Data modeling', 'Applied mathematics', 'Data and information visualization']"
API Integration Engineer,"['Continuous integration/continuous deployment (ci/cd)', 'Version control', 'Collaboration and teamwork', 'Problem solving and critical thinking', 'API authentication methods', 'API documentation', 'Testing and debugging', 'Attention to detail', 'API design']"
Technical Program Manager,"['Project management', 'Mitigation', 'Collaboration', 'Communication', 'Project management expertise', 'Program management', 'Risk management', 'Analysis', 'Leadership']"
